ZipCode,StateFIPS,State,CountyFIPS,County
"76033","48","TX","221","HOOD"
"76033","48","TX","251","JOHNSON"
"76033","48","TX","425","SOMERVELL"
"76035","48","TX","221","HOOD"
"76035","48","TX","251","JOHNSON"
"76035","48","TX","367","PARKER"
"76036","48","TX","251","JOHNSON"
"76036","48","TX","439","TARRANT"
"76043","48","TX","035","BOSQUE"
"76043","48","TX","425","SOMERVELL"
"76048","48","TX","221","HOOD"
"76048","48","TX","425","SOMERVELL"
"76049","48","TX","221","HOOD"
"76049","48","TX","367","PARKER"
"76050","48","TX","139","ELLIS"
"76050","48","TX","217","HILL"
"76050","48","TX","251","JOHNSON"
"76051","48","TX","113","DALLAS"
"76051","48","TX","439","TARRANT"
"76052","48","TX","121","DENTON"
"76052","48","TX","439","TARRANT"
"76052","48","TX","497","WISE"
"76063","48","TX","251","JOHNSON"
"76063","48","TX","439","TARRANT"
"76065","48","TX","113","DALLAS"
"76065","48","TX","139","ELLIS"
"76066","48","TX","363","PALO PINTO"
"76066","48","TX","367","PARKER"
"76067","48","TX","363","PALO PINTO"
"76067","48","TX","367","PARKER"
"76070","48","TX","251","JOHNSON"
"76070","48","TX","425","SOMERVELL"
"76071","48","TX","439","TARRANT"
"76071","48","TX","497","WISE"
"76078","48","TX","121","DENTON"
"76078","48","TX","497","WISE"
"76082","48","TX","367","PARKER"
"76082","48","TX","497","WISE"
"76084","48","TX","139","ELLIS"
"76084","48","TX","251","JOHNSON"
"76087","48","TX","221","HOOD"
"76087","48","TX","367","PARKER"
"76092","48","TX","121","DENTON"
"76092","48","TX","439","TARRANT"
"76093","48","TX","217","HILL"
"76093","48","TX","251","JOHNSON"
"76108","48","TX","367","PARKER"
"76108","48","TX","439","TARRANT"
"76126","48","TX","367","PARKER"
"76126","48","TX","439","TARRANT"
"76177","48","TX","121","DENTON"
"76177","48","TX","439","TARRANT"
"76225","48","TX","337","MONTAGUE"
"76225","48","TX","497","WISE"
"76228","48","TX","077","CLAY"
"76228","48","TX","337","MONTAGUE"
"76230","48","TX","077","CLAY"
"76230","48","TX","237","JACK"
"76230","48","TX","337","MONTAGUE"
"76233","48","TX","097","COOKE"
"76233","48","TX","181","GRAYSON"
"76234","48","TX","097","COOKE"
