http://kotaku.com/the-classic-pc-games-you-must-play-1246823468/1440923931
https://en.wikipedia.org/wiki/Lists_of_video_games
http://www.metacritic.com/browse/games/title/pc/a?view=detailed
Archon
The Bard's Tale
Civilization
DOOM
Epic Pinball
Flight Simulator
Grand Theft Auto
Half-Life
Ikari Warriors
Jumpman,http://kotaku.com/jumpman-why-first-off-you-said-classic-pc-nothing-i-1257231038
King's Quest,
Leisure Suit Larry in the Land of the Lounge Lizards,http://kotaku.com/leisure-suit-larry-in-the-land-of-the-lounge-lizards-wh-1255348593
M.U.L.E.
Nascar Racing by Papyrus
Nautilus,https://en.wikipedia.org/wiki/Nautilus_%28video_game%29
Oregon Trail,
Populous,https://en.wikipedia.org/wiki/Populous
Quake
R
Sim City
Tetris
Ultima
V
Wizardry
Zork
